full_name,description,language,html_url,stargazers_count,topics,release_assets,windows_support,macos_support,linux_support,platform_notes
dinoki-ai/osaurus,"The missing macOS LLM server. Run local or cloud models with OpenAI & Anthropic compatible APIs. MCP server for Cursor & Claude Desktop, menu bar chat, plugins, and dev tools. Native Apple Silicon.",Swift,https://github.com/dinoki-ai/osaurus,2481,"[""anthropic"", ""apple-foundation-models"", ""apple-intelligence"", ""apple-neural-engine"", ""llm"", ""mcp"", ""mcp-server"", ""mlx"", ""openai"", ""swift""]","[{""name"": ""Osaurus-0.5.54.dmg"", ""download_url"": ""https://github.com/dinoki-ai/osaurus/releases/download/0.5.54/Osaurus-0.5.54.dmg""}, {""name"": ""Osaurus.dmg"", ""download_url"": ""https://github.com/dinoki-ai/osaurus/releases/download/0.5.54/Osaurus.dmg""}]",False,True,False,Supported platforms: macOS
Far-Beyond-Pulsar/Pulsar-Native,The next-generation game engine that you deserve implemented in rust on top of GPUI,Rust,https://github.com/Far-Beyond-Pulsar/Pulsar-Native,221,"[""engine"", ""game"", ""game-engine"", ""gpui"", ""rust""]","[{""name"": ""pulsar_engine-windows-arm64.exe"", ""download_url"": ""https://github.com/Far-Beyond-Pulsar/Pulsar-Native/releases/download/v0.1.51/pulsar_engine-windows-arm64.exe""}, {""name"": ""pulsar_engine-windows-x86_64.exe"", ""download_url"": ""https://github.com/Far-Beyond-Pulsar/Pulsar-Native/releases/download/v0.1.51/pulsar_engine-windows-x86_64.exe""}]",True,False,False,Supported platforms: Windows
ejbills/DockDoor,"Window peeking, alt-tab and other enhancements for macOS",Swift,https://github.com/ejbills/DockDoor,3346,[],"[{""name"": ""DockDoor.dmg"", ""download_url"": ""https://github.com/ejbills/DockDoor/releases/download/1.29/DockDoor.dmg""}]",False,True,False,Supported platforms: macOS
rlxone/Equinox,Create dynamic wallpapers for macOS.,Swift,https://github.com/rlxone/Equinox,1766,"[""app"", ""appkit"", ""application"", ""dynamic"", ""macos"", ""native"", ""swift"", ""wallpaper""]","[{""name"": ""Equinox.dmg"", ""download_url"": ""https://github.com/rlxone/Equinox/releases/download/v4.0/Equinox.dmg""}]",False,True,False,Supported platforms: macOS
LinwoodDev/Butterfly,"Powerful, minimalistic, cross-platform, opensource note-taking app",Dart,https://github.com/LinwoodDev/Butterfly,1610,"[""android"", ""app"", ""cross-platform"", ""customizable"", ""dart"", ""dartlang"", ""drawing"", ""flutter"", ""linux"", ""note"", ""note-taking"", ""notes"", ""notes-app"", ""onenote"", ""opensource"", ""productivity"", ""web"", ""windows"", ""writing""]","[{""name"": ""linwood-butterfly-linux-alternative-x86_64.AppImage"", ""download_url"": ""https://github.com/LinwoodDev/Butterfly/releases/download/v2.4.1/linwood-butterfly-linux-alternative-x86_64.AppImage""}, {""name"": ""linwood-butterfly-macos.dmg"", ""download_url"": ""https://github.com/LinwoodDev/Butterfly/releases/download/v2.4.1/linwood-butterfly-macos.dmg""}, {""name"": ""linwood-butterfly-windows-setup-x86_64.exe"", ""download_url"": ""https://github.com/LinwoodDev/Butterfly/releases/download/v2.4.1/linwood-butterfly-windows-setup-x86_64.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
ransome1/sleek,"todo.txt manager for Linux, Windows and MacOS, free and open-source (FOSS)",TypeScript,https://github.com/ransome1/sleek,1884,"[""alarms"", ""archiving"", ""contexts"", ""dark-mode"", ""due-date"", ""file-watcher"", ""filters"", ""foss"", ""fulltext-search"", ""gui"", ""linux-app"", ""macos-app"", ""modern"", ""multiple-languages"", ""open-source"", ""priorities"", ""repeating-todos"", ""threshold"", ""todo-txt"", ""windows-app""]","[{""name"": ""sleek-2.0.22-linux-x86_64.AppImage"", ""download_url"": ""https://github.com/ransome1/sleek/releases/download/v2.0.22/sleek-2.0.22-linux-x86_64.AppImage""}, {""name"": ""sleek-2.0.22-mac-arm64.dmg"", ""download_url"": ""https://github.com/ransome1/sleek/releases/download/v2.0.22/sleek-2.0.22-mac-arm64.dmg""}, {""name"": ""sleek-2.0.22-win-Setup.exe"", ""download_url"": ""https://github.com/ransome1/sleek/releases/download/v2.0.22/sleek-2.0.22-win-Setup.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
ggml-org/LlamaBarn,A cosy home for your LLMs.,Swift,https://github.com/ggml-org/LlamaBarn,667,"[""ai"", ""llama-cpp"", ""llms"", ""macos"", ""swift""]","[{""name"": ""LlamaBarn.dmg"", ""download_url"": ""https://github.com/ggml-org/LlamaBarn/releases/download/0.16.0/LlamaBarn.dmg""}]",False,True,False,Supported platforms: macOS
gaauwe/fast-forward,A window switcher for macOS built in Rust using the gpui framework,Rust,https://github.com/gaauwe/fast-forward,346,[],"[{""name"": ""FastForward.dmg"", ""download_url"": ""https://github.com/gaauwe/fast-forward/releases/download/v0.6.1/FastForward.dmg""}]",False,True,False,Supported platforms: macOS
HeroTools/open-whispr,"Voice-to-text dictation app with local Whisper models and OpenAI API. Privacy-first, cross-platform, global hotkey activated.",TypeScript,https://github.com/HeroTools/open-whispr,535,"[""ai"", ""open-source"", ""whisper""]","[{""name"": ""OpenWhispr-1.0.12.AppImage"", ""download_url"": ""https://github.com/HeroTools/open-whispr/releases/download/v1.0.12/OpenWhispr-1.0.12.AppImage""}, {""name"": ""OpenWhispr-1.0.12.dmg"", ""download_url"": ""https://github.com/HeroTools/open-whispr/releases/download/v1.0.12/OpenWhispr-1.0.12.dmg""}, {""name"": ""OpenWhispr-1.0.12.exe"", ""download_url"": ""https://github.com/HeroTools/open-whispr/releases/download/v1.0.12/OpenWhispr-1.0.12.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
TNTwise/REAL-Video-Enhancer,"Interpolate, Upscale, Decompress, and Denoise videos easily on Linux/Windows/MacOS.",Python,https://github.com/TNTwise/REAL-Video-Enhancer,1405,"[""gui"", ""interpolation"", ""linux"", ""macos"", ""real-esrgan"", ""rife"", ""upscaling"", ""windows""]","[{""name"": ""REAL-Video-Enhancer-2.3.8-Windows-Setup_x86_64.exe"", ""download_url"": ""https://github.com/TNTwise/REAL-Video-Enhancer/releases/download/RVE-2.3.8/REAL-Video-Enhancer-2.3.8-Windows-Setup_x86_64.exe""}]",True,False,False,Supported platforms: Windows
