id,repo_name,full_name,description,language,homepage,html_url,stargazers_count,forks_count,watchers_count,open_issues_count,topics,license_name,created_at,updated_at,pushed_at,size_kb,default_branch,has_wiki,has_pages,has_downloads,archived,disabled,visibility,owner_login,owner_type,owner_avatar_url,windows_support,macos_support,linux_support,platform_notes
366911357,cushy,khonsulabs/cushy,An experimental cross-platform graphical user interface (GUI) crate for Rust.,Rust,,https://github.com/khonsulabs/cushy,598,29,598,69,"[""gui"", ""rust""]",Apache License 2.0,2021-05-13T02:28:00Z,2025-11-17T16:06:36Z,2025-09-04T11:19:15Z,3517,main,True,False,True,False,False,public,khonsulabs,Organization,https://avatars.githubusercontent.com/u/50191483?v=4,True,True,True,Cross-platform GUI crate for Rust
125722945,AppImageLauncher,TheAssassin/AppImageLauncher,"Helper application for Linux distributions serving as a kind of ""entry point"" for running and integrating AppImages",C++,https://assassinate-you.net/tags/appimagelauncher/,https://github.com/TheAssassin/AppImageLauncher,7232,302,7232,184,[],MIT License,2018-03-18T12:32:33Z,2025-11-27T15:29:11Z,2025-11-24T04:16:36Z,1806,master,True,False,True,False,False,public,TheAssassin,User,https://avatars.githubusercontent.com/u/4503202?v=4,False,False,True,Helper application for AppImages
35129809,transmission,transmission/transmission,Official Transmission BitTorrent client repository,C++,https://transmissionbt.com,https://github.com/transmission/transmission,13735,1304,13735,847,[],Other,2015-05-05T23:53:02Z,2025-11-27T09:03:07Z,2025-11-26T20:12:11Z,137736,main,False,False,True,False,False,public,transmission,Organization,https://avatars.githubusercontent.com/u/223312?v=4,True,True,True,BitTorrent client
211540698,kmonad,kmonad/kmonad,An advanced keyboard manager,Haskell,,https://github.com/kmonad/kmonad,4816,330,4816,205,"[""cross-platform"", ""haskell"", ""keyboard"", ""keyboard-layout"", ""linux"", ""macos"", ""windows""]",MIT License,2019-09-28T17:54:41Z,2025-11-27T05:36:10Z,2025-11-02T21:10:35Z,1664,master,True,False,True,False,False,public,kmonad,Organization,https://avatars.githubusercontent.com/u/84142301?v=4,True,True,True,Advanced keyboard manager
115215556,Minder,phase1geo/Minder,Mind-mapping application for Elementary OS,Vala,,https://github.com/phase1geo/Minder,1122,79,1122,96,"[""markdown"", ""mindmap"", ""pdf""]",GNU General Public License v3.0,2017-12-23T18:54:43Z,2025-11-26T15:37:17Z,2025-11-22T01:29:11Z,18061,master,True,False,True,False,False,public,phase1geo,User,https://avatars.githubusercontent.com/u/22555565?v=4,False,True,True,Mind-mapping application
636427933,elia,darrenburns/elia,"A snappy, keyboard-centric terminal user interface for interacting with large language models. Chat with ChatGPT, Claude, Llama 3, Phi 3, Mistral, Gemma and more.",Python,,https://github.com/darrenburns/elia,2369,150,2369,21,"[""ai"", ""chatgpt"", ""claude"", ""gemma"", ""gpt"", ""large-language-models"", ""llama"", ""llama3"", ""llm"", ""mistral"", ""mistral-ai"", ""mixtral"", ""ollama"", ""ollama-client"", ""ollama-interface"", ""phi-3"", ""python"", ""terminal"", ""tui""]",Apache License 2.0,2023-05-04T20:34:55Z,2025-11-27T07:56:25Z,2024-10-10T19:12:52Z,581,main,False,False,True,False,False,public,darrenburns,User,https://avatars.githubusercontent.com/u/5740731?v=4,True,True,True,Terminal user interface for interacting with language models
826888158,icebreaker,hecrj/icebreaker,"A local AI chat app powered by 🦀 Rust, 🧊 iced, 🤗 Hugging Face, and 🦙 llama.cpp",Rust,,https://github.com/hecrj/icebreaker,353,26,353,4,"[""ai"", ""ai-chat"", ""chat"", ""iced"", ""llm"", ""rust""]",MIT License,2024-07-10T15:23:07Z,2025-11-27T13:11:31Z,2025-11-01T00:27:37Z,1943,master,False,False,True,False,False,public,hecrj,User,https://avatars.githubusercontent.com/u/518289?v=4,True,True,True,"GUI, AI chat app"
481230318,halloy,squidowl/halloy,IRC application written in Rust,Rust,https://halloy.chat/,https://github.com/squidowl/halloy,3447,139,3447,104,"[""iced"", ""irc"", ""rust""]",GNU General Public License v3.0,2022-04-13T13:35:54Z,2025-11-27T14:55:50Z,2025-11-27T15:01:54Z,89035,main,True,True,True,False,False,public,squidowl,Organization,https://avatars.githubusercontent.com/u/117346077?v=4,True,True,True,"GUI, IRC app"
536802516,lan-mouse,feschber/lan-mouse,mouse & keyboard sharing via LAN,Rust,,https://github.com/feschber/lan-mouse,4119,153,4119,94,"[""gplv3"", ""gtk4-rs"", ""hyprland"", ""keyboard-emulation"", ""kvm-switch"", ""lan"", ""libadwaita"", ""linux"", ""macos"", ""mouse-emulation"", ""open-source"", ""rust"", ""tcp"", ""udp"", ""wayland"", ""wayland-client"", ""windows"", ""wlroots""]",GNU General Public License v3.0,2022-09-15T00:15:20Z,2025-11-27T10:46:07Z,2025-11-03T17:39:58Z,1475,main,True,False,True,False,False,public,feschber,User,https://avatars.githubusercontent.com/u/40996949?v=4,True,True,True,"GUI, LAN mouse"
120568143,wezterm,wezterm/wezterm,A GPU-accelerated cross-platform terminal emulator and multiplexer written by @wez and implemented in Rust,Rust,https://wezterm.org/,https://github.com/wezterm/wezterm,22659,1062,22659,1487,"[""rust"", ""serial"", ""serial-port"", ""terminal"", ""terminal-emulator"", ""terminal-emulators""]",Other,2018-02-07T05:35:46Z,2025-11-27T14:52:56Z,2025-11-23T15:45:44Z,309776,main,False,True,True,False,False,public,wezterm,Organization,https://avatars.githubusercontent.com/u/198158019?v=4,True,True,True,GPU-accelerated cross-platform terminal emulator
